Table V2023R1,V9.0 (P12),V11 (P22),Abbreviation,Description,Module,Activity code
AABREV,,,AAB,Abbreviation,Supervisor,
ABANK,,,ABN,Bank sort codes,Supervisor,
ABATABT,Modification,,ABA,Batch server (recurring tasks),Supervisor,
ABATABTD,,,ABD,Batch server (recurring tasks),Supervisor,
ABATABTD2,,,A22,Batch server (recurring tasks),Development,
ABATCAL,,,ABC,Batch server calendar,Supervisor,
ABATGRP,Modification,Modification,ABG,Batch server (groups),Supervisor,
ABATHOR,,,ABH,Hourly constraints,Supervisor,
ABATPAR,,,ABP,Batch server (parameters),Supervisor,
ABATRQT,Modification,Modification,ABR,Batch server (queries),Supervisor,
ABATRQT2,,,A11,Batch server (queries),Development,
ABATRQTL,,,ABL,Batch server (queries),Supervisor,
ABATTAC,Modification,Modification,ABT,Batch server (tasks),Supervisor,
ABICOND,,,AII,Predefined conditions,Supervisor,ABI
ABIDATMRT,,,ABM,Datamart,Supervisor,ABI
ABIDATWRH,,,ABW,Data warehouse,Supervisor,ABI
ABIDIM,,,ABI,Dimensions,Supervisor,ABI
ABIDIMFLD,,,ABJ,Dimensions (fields),Supervisor,ABI
ABIHIERA,,,AHH,Hierarchies,Supervisor,ABI
ABIPRFUSR,,,AIU,BI user profile,Supervisor,ABI
ABIREGDES,,,ABY,Synchronization rules (dest),Supervisor,ABI
ABIREGORG,,,ABV,Synchronisation rules,Supervisor,ABI
ABIREPORT,,,ABO,Business objects reports,Supervisor,ABI
ABIREPORTD,,,ABQ,Business objects reports,Supervisor,ABI
ABIREPORTID,,,ABOID,Business objects reports,Supervisor,ABI
ABITABAGG,,,ABE,Fact table (aggregates),Supervisor,ABI
ABITABDAT,,,ABF,Fact tables,Supervisor,ABI
ABITABFLD,,,ABZ,Fact table (fields),Supervisor,ABI
ABITABIND,,,ABX,Fact table (index),Supervisor,ABI
ABITABLNK,,,ABK,Fact table (links),Supervisor,ABI
ABITRAUNV,,,ATV,Report translation,Supervisor,ABI
ABLBSYS,,,ASB,Graphic components,Supervisor,
ABLOB,,,ABB,Special folders,Supervisor,
ACALCUL,,,AKL,Calculator history,Supervisor,
ACCCOD,,,ACS,Access codes,Supervisor,
ACCES,,,ACC,Access by user,Supervisor,
ACHANGE,,,ACG,Key change set up,Supervisor,
ACLACOL,,,ACLAC,Classes (Collections),Supervisor,
